s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"TEMP_0","TEMP_1","TEMP_2","TEMP_3","TEMP_4","TEMP_5","TEMP_6","TEMP_7","TEMP_8","TEMP_9","TEMP_10","TEMP_11","TEMP_12","TEMP_13","TEMP_14","TEMP_15","TEMP_16","TEMP_17","TEMP_18","TEMP_19","TEMP_20","TEMP_21","TEMP_22","TEMP_23"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 5.1136234E+000, 2.0080416E+001, 2.0081507E+001, 2.0080457E+001, 2.0080648E+001, 2.0081481E+001, 4.9352311E+001, 2.0081430E+001, 2.0081313E+001, 2.0080611E+001, 2.0080655E+001, 2.0082374E+001, 4.9318638E+001, 2.0080563E+001, 2.0081423E+001, 4.9470505E+001, 2.0081435E+001, 2.0080629E+001, 2.0080612E+001, 2.0080572E+001, 2.0080637E+001, 2.0080437E+001, 2.0080436E+001, 2.0080451E+001, 2.0080603E+001
 1.0019249E+001, 2.0661689E+001, 2.0716597E+001, 2.0660643E+001, 2.0667834E+001, 2.0717783E+001, 1.0333863E+002, 2.0719232E+001, 2.0716738E+001, 2.0662448E+001, 2.0675569E+001, 2.0770402E+001, 9.8070682E+001, 2.0667594E+001, 2.0720853E+001, 9.8551509E+001, 2.0720266E+001, 2.0662650E+001, 2.0665930E+001, 2.0765021E+001, 2.0672689E+001, 2.0664631E+001, 2.0662710E+001, 2.0662526E+001, 2.0668137E+001
 1.5177013E+001, 2.1775083E+001, 2.2277360E+001, 2.1765860E+001, 2.1648546E+001, 2.2865532E+001, 1.5975748E+002, 2.2840660E+001, 2.2287503E+001, 2.1784817E+001, 2.2818167E+001, 2.4845307E+001, 1.4476812E+002, 2.1800325E+001, 2.2555651E+001, 1.2647214E+002, 2.3007695E+001, 2.1791601E+001, 2.2582918E+001, 2.5305980E+001, 2.4455727E+001, 2.2113849E+001, 2.2023292E+001, 2.2172207E+001, 2.3128812E+001
 2.0060256E+001, 2.3329096E+001, 2.4449793E+001, 2.3439369E+001, 1.9809520E+001, 2.5463544E+001, 2.1989973E+002, 2.9204849E+001, 2.3954575E+001, 2.3646502E+001, 2.6756617E+001, 3.3297039E+001, 1.8979001E+002, 2.3478129E+001, 2.5125686E+001, 1.9339183E+002, 2.5547885E+001, 2.3009866E+001, 2.9146382E+001, 2.6357940E+001, 3.2996274E+001, 2.6506293E+001, 2.4766203E+001, 2.6849074E+001, 3.0869588E+001
 2.5138829E+001, 2.6283558E+001, 2.7193114E+001, 2.6632824E+001, 2.0784581E+001, 2.8904474E+001, 2.9180186E+002, 3.2025670E+001, 2.7497608E+001, 2.6039290E+001, 2.8512806E+001, 4.2209196E+001, 2.6837353E+002, 2.6062018E+001, 2.9281164E+001, 2.4146503E+002, 3.0813354E+001, 2.5177751E+001, 3.0709672E+001, 2.9240705E+001, 3.1327760E+001, 3.0008668E+001, 2.6133888E+001, 3.0543400E+001, 3.1687640E+001
 3.0113022E+001, 3.0345600E+001, 3.1603758E+001, 2.9826072E+001, 2.4826318E+001, 3.6042962E+001, 3.6349813E+002, 3.5712197E+001, 3.4808522E+001, 2.8642527E+001, 3.1657066E+001, 5.4970170E+001, 3.0957422E+002, 2.9844007E+001, 3.8662906E+001, 3.3381349E+002, 4.0411260E+001, 2.7388975E+001, 3.1114424E+001, 3.5484321E+001, 3.4391285E+001, 3.1717165E+001, 2.8844885E+001, 3.2903137E+001, 3.4425386E+001
 3.5111362E+001, 3.4310157E+001, 4.0687924E+001, 3.2289310E+001, 2.6616724E+001, 4.8028944E+001, 4.0334485E+002, 4.4807234E+001, 4.6813587E+001, 3.3464163E+001, 3.8857606E+001, 7.0840637E+001, 3.2732752E+002, 3.3183158E+001, 5.2700821E+001, 3.9645007E+002, 4.7047003E+001, 2.9849358E+001, 3.3607294E+001, 4.0608245E+001, 3.8965617E+001, 3.4000766E+001, 3.1820635E+001, 3.5595089E+001, 3.8150502E+001
 4.0130394E+001, 3.8688950E+001, 5.3978310E+001, 3.5217108E+001, 2.7416809E+001, 5.9483942E+001, 3.4412598E+002, 6.0518307E+001, 6.4403980E+001, 3.7869842E+001, 4.7045106E+001, 9.1894761E+001, 3.6099968E+002, 3.6862575E+001, 6.7116641E+001, 3.5037594E+002, 5.7883572E+001, 3.3015847E+001, 3.5639469E+001, 4.3548263E+001, 4.3005802E+001, 3.5051647E+001, 3.4755305E+001, 3.8539515E+001, 4.0567587E+001
 4.5138418E+001, 4.2044551E+001, 6.6154133E+001, 3.6858179E+001, 2.9953499E+001, 7.3865213E+001, 2.9218039E+002, 7.3994388E+001, 7.7314838E+001, 4.1151811E+001, 5.4995023E+001, 1.1716530E+002, 3.2497555E+002, 4.0704353E+001, 8.0893172E+001, 3.9756995E+002, 8.0184830E+001, 3.5538384E+001, 3.7189405E+001, 4.5047351E+001, 4.5079250E+001, 3.8364371E+001, 3.7163847E+001, 4.0530181E+001, 4.2323918E+001
 5.0124225E+001, 4.4841474E+001, 7.5197889E+001, 3.9508077E+001, 3.7712819E+001, 8.3833144E+001, 3.1811711E+002, 7.8144830E+001, 9.8245042E+001, 4.5288895E+001, 6.4920371E+001, 1.4379528E+002, 4.5697683E+002, 4.4516705E+001, 9.4550792E+001, 3.9117231E+002, 8.8364611E+001, 3.7403100E+001, 3.8851959E+001, 4.5890532E+001, 4.6719903E+001, 3.9153353E+001, 3.8465255E+001, 4.1618962E+001, 4.4043983E+001
 5.5029661E+001, 4.8506223E+001, 8.4752205E+001, 4.9090858E+001, 4.5932493E+001, 9.6077778E+001, 3.8320855E+002, 9.3348420E+001, 1.1394412E+002, 5.1108707E+001, 7.2509428E+001, 1.6163218E+002, 4.4146695E+002, 4.8422039E+001, 9.7587848E+001, 4.3843492E+002, 1.0422978E+002, 4.0228056E+001, 4.0294804E+001, 4.5088216E+001, 4.7448214E+001, 3.8744124E+001, 3.9101110E+001, 4.2815451E+001, 4.5267044E+001
 6.0048300E+001, 5.2714630E+001, 9.3535389E+001, 5.4637128E+001, 5.1879793E+001, 1.0315572E+002, 4.2689260E+002, 1.0523436E+002, 1.2318284E+002, 5.8708952E+001, 7.8792784E+001, 1.7332391E+002, 4.5610020E+002, 5.4251535E+001, 1.1200851E+002, 4.4238511E+002, 1.2325414E+002, 4.2124065E+001, 4.1746608E+001, 4.5415260E+001, 4.4657371E+001, 3.9404063E+001, 4.0101890E+001, 4.3241140E+001, 4.5915242E+001
 6.5134442E+001, 5.4365035E+001, 9.7682456E+001, 6.3077275E+001, 5.7269625E+001, 1.1165106E+002, 3.9663742E+002, 1.1004087E+002, 1.2762152E+002, 6.6178746E+001, 9.0827174E+001, 1.7552440E+002, 4.1188429E+002, 5.9876610E+001, 1.3638998E+002, 4.7876023E+002, 1.3119526E+002, 4.3668182E+001, 4.1391242E+001, 4.5680034E+001, 4.1815044E+001, 4.0234976E+001, 4.0890111E+001, 4.1836809E+001, 4.4827504E+001
 7.0170500E+001, 5.9741656E+001, 9.7377444E+001, 7.0830444E+001, 6.1330558E+001, 1.1763326E+002, 4.0201746E+002, 1.1666817E+002, 1.3509725E+002, 7.2265442E+001, 9.8530932E+001, 1.9155130E+002, 4.7860572E+002, 6.7239725E+001, 1.4065415E+002, 4.9160639E+002, 1.4181318E+002, 4.5070058E+001, 4.0946348E+001, 4.4147148E+001, 4.4826254E+001, 4.1075212E+001, 4.1409711E+001, 4.2062581E+001, 4.3104886E+001
 7.5038982E+001, 6.5254060E+001, 1.0121620E+002, 7.8913947E+001, 6.7349018E+001, 1.1834812E+002, 4.2000570E+002, 1.2605099E+002, 1.5032473E+002, 7.6005305E+001, 1.0301492E+002, 1.8789173E+002, 5.0189249E+002, 7.2743214E+001, 1.3804441E+002, 4.9091905E+002, 1.5127111E+002, 4.5854030E+001, 4.1432507E+001, 4.4426377E+001, 4.6823443E+001, 4.2328665E+001, 4.1897352E+001, 4.3714282E+001, 4.3591443E+001
 8.0132626E+001, 6.6967283E+001, 1.1363069E+002, 8.6395905E+001, 7.3083041E+001, 1.2998854E+002, 4.3891353E+002, 1.3619831E+002, 1.5070579E+002, 8.1225977E+001, 1.0300955E+002, 1.8449140E+002, 4.9052691E+002, 7.8097040E+001, 1.3714461E+002, 5.5224469E+002, 1.5896276E+002, 4.9043671E+001, 4.2266442E+001, 4.4846551E+001, 4.6940216E+001, 4.4145546E+001, 4.2249134E+001, 4.4212930E+001, 4.4078388E+001
 8.5117576E+001, 7.4178689E+001, 1.1844754E+002, 9.1013582E+001, 7.6967690E+001, 1.3673071E+002, 4.2229537E+002, 1.4204811E+002, 1.4933215E+002, 8.6200700E+001, 1.0403733E+002, 1.9250397E+002, 4.7559783E+002, 8.3111790E+001, 1.3760621E+002, 4.5062754E+002, 1.6730820E+002, 5.2032420E+001, 4.1928166E+001, 4.4731681E+001, 4.5316161E+001, 4.3919561E+001, 4.2435023E+001, 4.3959993E+001, 4.2107728E+001
 9.0097190E+001, 7.7243789E+001, 1.2554311E+002, 9.6676827E+001, 8.2353118E+001, 1.3691363E+002, 4.0009766E+002, 1.4626297E+002, 1.6290388E+002, 8.8349971E+001, 1.0897990E+002, 1.8750890E+002, 4.6330443E+002, 8.5471499E+001, 1.4236092E+002, 4.7620352E+002, 1.6802375E+002, 5.2038429E+001, 4.0072710E+001, 4.4094173E+001, 4.4175030E+001, 4.2238068E+001, 4.2266496E+001, 4.4019228E+001, 4.2553467E+001
 9.5066646E+001, 8.1905997E+001, 1.3141945E+002, 1.0135968E+002, 8.9141781E+001, 1.3592584E+002, 4.4731816E+002, 1.4394526E+002, 1.6270691E+002, 9.0559027E+001, 1.1571134E+002, 1.9847716E+002, 4.2203255E+002, 8.9747031E+001, 1.4280497E+002, 4.6394846E+002, 1.7117607E+002, 5.3915222E+001, 4.0340937E+001, 4.3476196E+001, 4.5094245E+001, 4.2216329E+001, 4.1719121E+001, 4.4081658E+001, 4.3113506E+001
 1.0014370E+002, 8.3011824E+001, 1.3684005E+002, 1.0959726E+002, 9.3850909E+001, 1.2760774E+002, 4.5490734E+002, 1.5316795E+002, 1.5795862E+002, 9.1658913E+001, 1.1891398E+002, 2.1218551E+002, 4.3168180E+002, 8.8547386E+001, 1.5512898E+002, 4.8691345E+002, 1.8239153E+002, 5.6289754E+001, 4.1277346E+001, 4.2287803E+001, 4.4488565E+001, 4.2430260E+001, 4.1633056E+001, 4.4119852E+001, 4.3186881E+001
 1.0503875E+002, 8.5038086E+001, 1.3874685E+002, 1.1242955E+002, 9.3975860E+001, 1.4304817E+002, 4.7254645E+002, 1.6168076E+002, 1.5421031E+002, 9.4579708E+001, 1.1649779E+002, 2.1031664E+002, 4.4656316E+002, 8.8628305E+001, 1.6529688E+002, 4.7071143E+002, 1.8208809E+002, 5.6992223E+001, 4.1619206E+001, 4.1864623E+001, 4.0362365E+001, 4.2485631E+001, 4.1535140E+001, 4.2779063E+001, 4.1820877E+001
 1.1013805E+002, 8.5763026E+001, 1.3990858E+002, 1.1266597E+002, 9.5502610E+001, 1.4203211E+002, 4.9610220E+002, 1.5894116E+002, 1.5426729E+002, 9.7863081E+001, 1.1785852E+002, 1.9981659E+002, 4.5614388E+002, 9.1757709E+001, 1.6680714E+002, 4.6927327E+002, 1.8154796E+002, 5.7762399E+001, 4.1574786E+001, 4.2413563E+001, 4.0163027E+001, 4.2445053E+001, 4.1147257E+001, 4.0737927E+001, 3.9880601E+001
 1.1515310E+002, 9.0383111E+001, 1.4383608E+002, 1.1377748E+002, 1.0034540E+002, 1.4160753E+002, 4.6870144E+002, 1.5451595E+002, 1.7013685E+002, 1.0000489E+002, 1.2454357E+002, 2.0497873E+002, 4.6331578E+002, 9.4674288E+001, 1.6555700E+002, 4.9403092E+002, 1.8209959E+002, 5.8248371E+001, 4.1314308E+001, 4.2546497E+001, 4.1111888E+001, 4.3131757E+001, 4.0995394E+001, 4.1170285E+001, 4.0392091E+001
 1.2002756E+002, 9.4132941E+001, 1.5078919E+002, 1.1712027E+002, 1.0306692E+002, 1.4286921E+002, 4.1568619E+002, 1.5741579E+002, 1.6926270E+002, 1.0036292E+002, 1.2758650E+002, 2.0585811E+002, 4.7669655E+002, 9.5140583E+001, 1.6223303E+002, 4.8857728E+002, 1.9009393E+002, 5.7677577E+001, 4.1086789E+001, 4.2011863E+001, 4.1126824E+001, 4.2935667E+001, 4.0903479E+001, 4.1183043E+001, 4.0663089E+001
 1.2500181E+002, 9.8012454E+001, 1.4845918E+002, 1.1726000E+002, 1.0333044E+002, 1.4762237E+002, 4.2811957E+002, 1.5941700E+002, 1.6873422E+002, 1.0126955E+002, 1.2662465E+002, 2.0282409E+002, 4.4286410E+002, 9.6712515E+001, 1.6291648E+002, 4.9859375E+002, 1.9355744E+002, 5.7918280E+001, 4.0630831E+001, 4.1266593E+001, 4.0430006E+001, 4.3473842E+001, 4.0548808E+001, 4.0392923E+001, 4.0074116E+001
 1.3014543E+002, 1.0101558E+002, 1.5197502E+002, 1.1737536E+002, 1.0388125E+002, 1.4382216E+002, 4.3451078E+002, 1.6102690E+002, 1.6639240E+002, 1.0293647E+002, 1.2528048E+002, 2.0827977E+002, 4.4963809E+002, 9.5302767E+001, 1.6493631E+002, 4.9416788E+002, 1.9738209E+002, 6.1304540E+001, 4.0131481E+001, 4.0495147E+001, 3.9814029E+001, 4.4480088E+001, 4.0081683E+001, 4.0232626E+001, 3.9542816E+001
 1.3512832E+002, 9.8095782E+001, 1.6296161E+002, 1.2246364E+002, 1.0536623E+002, 1.3983397E+002, 4.4172367E+002, 1.6569970E+002, 1.6694954E+002, 1.0534042E+002, 1.2416307E+002, 2.0552075E+002, 4.6985483E+002, 9.2298080E+001, 1.6732687E+002, 4.9841274E+002, 1.9518148E+002, 6.3982750E+001, 3.9609824E+001, 3.9703403E+001, 3.9163798E+001, 4.4714689E+001, 3.9434075E+001, 4.0344296E+001, 3.9404426E+001
 1.4011121E+002, 9.7482116E+001, 1.5596019E+002, 1.2395743E+002, 1.0447258E+002, 1.4965043E+002, 4.5855929E+002, 1.6716135E+002, 1.6877037E+002, 1.0657636E+002, 1.2786835E+002, 2.0196583E+002, 4.4000140E+002, 9.3657252E+001, 1.6731489E+002, 4.8289383E+002, 1.9474584E+002, 6.2746146E+001, 3.8457442E+001, 3.8328880E+001, 3.8726931E+001, 4.4326786E+001, 3.9143585E+001, 3.9994359E+001, 3.8808272E+001
 1.4500695E+002, 9.6456032E+001, 1.5385194E+002, 1.2566243E+002, 1.0452567E+002, 1.4399808E+002, 4.4270315E+002, 1.6428759E+002, 1.7112119E+002, 1.0524001E+002, 1.2725307E+002, 2.0687621E+002, 4.5455477E+002, 9.3637610E+001, 1.6302965E+002, 4.5227239E+002, 1.9330438E+002, 6.1147800E+001, 3.8014198E+001, 3.7897022E+001, 3.8626602E+001, 4.4282396E+001, 3.8602750E+001, 3.9779233E+001, 3.8426260E+001
 1.5013335E+002, 9.8688576E+001, 1.5464315E+002, 1.2730776E+002, 1.0243899E+002, 1.5565906E+002, 4.7541881E+002, 1.6580930E+002, 1.7024380E+002, 1.0593862E+002, 1.2646497E+002, 2.1117375E+002, 4.5385557E+002, 9.4288966E+001, 1.6066179E+002, 5.0882935E+002, 1.9449624E+002, 6.1746314E+001, 3.8165140E+001, 3.7934067E+001, 3.8459437E+001, 4.5380127E+001, 3.8455372E+001, 3.9661146E+001, 3.8500489E+001
 1.5505841E+002, 1.0131275E+002, 1.5595712E+002, 1.2818777E+002, 1.0532447E+002, 1.5113450E+002, 4.6281099E+002, 1.6461460E+002, 1.7217291E+002, 1.0734628E+002, 1.2501284E+002, 2.1608233E+002, 4.6419491E+002, 9.3518350E+001, 1.6328447E+002, 4.4272812E+002, 1.9807397E+002, 6.2691643E+001, 3.8211192E+001, 3.7878795E+001, 3.8203190E+001, 4.6088260E+001, 3.8362124E+001, 3.9433329E+001, 3.8592723E+001
 1.6016933E+002, 1.0283813E+002, 1.5859618E+002, 1.2961621E+002, 1.0419936E+002, 1.4926052E+002, 4.8688049E+002, 1.7233582E+002, 1.7091402E+002, 1.0680055E+002, 1.2863031E+002, 2.1952822E+002, 4.3258010E+002, 9.4734499E+001, 1.5604768E+002, 4.6802935E+002, 2.0190278E+002, 6.2893431E+001, 3.8154043E+001, 3.7731662E+001, 3.7960603E+001, 4.6304789E+001, 3.7961079E+001, 3.9123251E+001, 3.8445005E+001
 1.6510989E+002, 1.0451880E+002, 1.6122522E+002, 1.2864541E+002, 1.0591857E+002, 1.5114630E+002, 4.4901532E+002, 1.6127031E+002, 1.6770213E+002, 1.0664721E+002, 1.3039932E+002, 2.1407067E+002, 4.7436628E+002, 9.5015285E+001, 1.6391423E+002, 4.6511802E+002, 1.9981605E+002, 6.3257904E+001, 3.7590821E+001, 3.7631189E+001, 3.7549751E+001, 4.6105952E+001, 3.7939336E+001, 3.8734795E+001, 3.8183410E+001
 1.7009099E+002, 1.0546016E+002, 1.6466162E+002, 1.2757587E+002, 1.0596252E+002, 1.4867303E+002, 4.4056289E+002, 1.6152845E+002, 1.7013144E+002, 1.0679929E+002, 1.2979663E+002, 2.2499711E+002, 4.5403599E+002, 9.3008864E+001, 1.6523403E+002, 4.6653664E+002, 1.9669106E+002, 6.3720826E+001, 3.6764975E+001, 3.7492228E+001, 3.6953512E+001, 4.6500323E+001, 3.8229098E+001, 3.8074967E+001, 3.7486445E+001
 1.7510990E+002, 1.0537074E+002, 1.6241356E+002, 1.2751870E+002, 1.0655324E+002, 1.4962737E+002, 4.4301409E+002, 1.6862131E+002, 1.7191106E+002, 1.0619059E+002, 1.2954751E+002, 2.2401510E+002, 4.5477518E+002, 9.4218948E+001, 1.6494053E+002, 5.0170435E+002, 1.9906125E+002, 6.3394460E+001, 3.6959134E+001, 3.7486096E+001, 3.6143019E+001, 4.6265132E+001, 3.7740157E+001, 3.7389396E+001, 3.6848012E+001
 1.8007862E+002, 1.0494410E+002, 1.6312324E+002, 1.2704254E+002, 1.0788808E+002, 1.4787311E+002, 4.6322064E+002, 1.7040336E+002, 1.6817750E+002, 1.0752166E+002, 1.3036610E+002, 2.2632946E+002, 4.6119720E+002, 9.3304432E+001, 1.7364469E+002, 5.0775455E+002, 1.9942500E+002, 6.3336028E+001, 3.7227404E+001, 3.7262308E+001, 3.5747977E+001, 4.6594796E+001, 3.7591337E+001, 3.6885474E+001, 3.6132676E+001
 1.8504734E+002, 1.0379604E+002, 1.6197399E+002, 1.2883992E+002, 1.0593490E+002, 1.5404192E+002, 4.2502749E+002, 1.6539357E+002, 1.6131715E+002, 1.0846405E+002, 1.3080143E+002, 2.2229066E+002, 4.2655400E+002, 9.3419783E+001, 1.6837474E+002, 5.3182476E+002, 2.0345409E+002, 6.2675016E+001, 3.6638953E+001, 3.6247504E+001, 3.5632010E+001, 4.6279430E+001, 3.7221480E+001, 3.6722688E+001, 3.5939670E+001
 1.9011432E+002, 1.0420365E+002, 1.5955131E+002, 1.2955932E+002, 1.0644563E+002, 1.5670074E+002, 4.8627361E+002, 1.6785915E+002, 1.6982530E+002, 1.0888918E+002, 1.2821991E+002, 2.1545430E+002, 4.2917698E+002, 9.4747056E+001, 1.6768959E+002, 5.0230614E+002, 1.9901035E+002, 6.3164866E+001, 3.5969023E+001, 3.5097431E+001, 3.5085963E+001, 4.5586186E+001, 3.7440076E+001, 3.6501952E+001, 3.5763254E+001
