s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
 1.9509823E+002, 1.0486260E+002, 1.6255144E+002, 1.2805491E+002, 1.0728099E+002, 1.5286341E+002, 4.6546140E+002, 1.6515860E+002, 1.7309433E+002, 1.0728327E+002, 1.2803520E+002, 2.2461438E+002, 4.9065548E+002, 9.2647796E+001, 1.6453418E+002, 4.9358302E+002, 1.9770361E+002, 6.1699119E+001, 3.5484981E+001, 3.3527100E+001, 3.3627586E+001, 4.4662271E+001, 3.7263508E+001, 3.5925889E+001, 3.4995897E+001
 2.0000703E+002, 1.0648064E+002, 1.6309285E+002, 1.2952227E+002, 1.0623839E+002, 1.5911185E+002, 4.3524721E+002, 1.7058506E+002, 1.7030433E+002, 1.0726750E+002, 1.3011130E+002, 2.2692050E+002, 4.7730503E+002, 9.2711807E+001, 1.6503285E+002, 4.5776952E+002, 1.9576735E+002, 6.0987579E+001, 3.5428189E+001, 3.3503207E+001, 3.2462901E+001, 4.3789371E+001, 3.6562204E+001, 3.5393103E+001, 3.4197748E+001
 2.0507543E+002, 1.0416921E+002, 1.5770898E+002, 1.2691868E+002, 1.0615685E+002, 1.5596659E+002, 4.4490833E+002, 1.6829308E+002, 1.7604193E+002, 1.0804295E+002, 1.3435985E+002, 2.1618258E+002, 4.3745405E+002, 9.3242757E+001, 1.6409061E+002, 4.6658731E+002, 2.0415884E+002, 6.1656192E+001, 3.5253869E+001, 3.3969033E+001, 3.2397363E+001, 4.4023637E+001, 3.6713275E+001, 3.4671939E+001, 3.3085999E+001
 2.1003857E+002, 1.0494994E+002, 1.6127192E+002, 1.2546673E+002, 1.0741685E+002, 1.5836269E+002, 4.3945347E+002, 1.6551296E+002, 1.7291863E+002, 1.0841121E+002, 1.3172212E+002, 2.0935181E+002, 3.8894696E+002, 9.3300353E+001, 1.6503276E+002, 4.7277258E+002, 1.9520936E+002, 6.2807906E+001, 3.4464722E+001, 3.4006336E+001, 3.1840118E+001, 4.4537162E+001, 3.6589169E+001, 3.4099520E+001, 3.3017999E+001
 2.1508442E+002, 1.0330610E+002, 1.6102820E+002, 1.2594111E+002, 1.0896207E+002, 1.5214600E+002, 4.3524929E+002, 1.6462149E+002, 1.7193362E+002, 1.0785356E+002, 1.3018903E+002, 2.2123486E+002, 4.1738175E+002, 9.2212408E+001, 1.6372503E+002, 5.0362976E+002, 1.8845845E+002, 6.2904242E+001, 3.2096173E+001, 3.3743201E+001, 3.1397736E+001, 4.3439184E+001, 3.6389815E+001, 3.3394501E+001, 3.2445003E+001
 2.2010112E+002, 1.0205311E+002, 1.5607220E+002, 1.2714190E+002, 1.0748287E+002, 1.4696541E+002, 4.3607559E+002, 1.6880062E+002, 1.7555769E+002, 1.0704882E+002, 1.3033736E+002, 2.1635049E+002, 4.2620640E+002, 9.1631185E+001, 1.6017563E+002, 5.0600465E+002, 1.9768798E+002, 6.2555898E+001, 3.1568497E+001, 3.3493830E+001, 3.1060743E+001, 4.3450756E+001, 3.6328001E+001, 3.2792563E+001, 3.2276104E+001
 2.2504381E+002, 1.0404705E+002, 1.5253284E+002, 1.2792651E+002, 1.0850042E+002, 1.5018088E+002, 4.5728470E+002, 1.6481107E+002, 1.8051658E+002, 1.0699805E+002, 1.2840573E+002, 2.1537123E+002, 3.9624412E+002, 9.2476966E+001, 1.5988851E+002, 5.1255770E+002, 1.9222322E+002, 6.1936234E+001, 3.2588349E+001, 3.3054442E+001, 3.1223187E+001, 4.4146930E+001, 3.5965778E+001, 3.2879607E+001, 3.2418143E+001
 2.3011382E+002, 1.0231744E+002, 1.5543493E+002, 1.2873117E+002, 1.0869701E+002, 1.4905577E+002, 4.5006628E+002, 1.6926729E+002, 1.8018319E+002, 1.0701923E+002, 1.2660924E+002, 2.1564736E+002, 3.2619123E+002, 9.1890857E+001, 1.6274888E+002, 4.8419873E+002, 1.9548189E+002, 6.1430643E+001, 3.2818432E+001, 3.2492730E+001, 3.1473634E+001, 4.3668553E+001, 3.5918660E+001, 3.2886141E+001, 3.2206195E+001
 2.3517081E+002, 9.9405148E+001, 1.5019996E+002, 1.2799136E+002, 1.1133033E+002, 1.4910785E+002, 4.2685461E+002, 1.6747473E+002, 1.7920833E+002, 1.0548075E+002, 1.2676785E+002, 2.3035907E+002, 3.0839539E+002, 9.0874825E+001, 1.6325145E+002, 4.3193406E+002, 2.0047499E+002, 6.0052964E+001, 3.2339888E+001, 3.1950092E+001, 3.0683881E+001, 4.2643215E+001, 3.5219260E+001, 3.2597826E+001, 3.1786395E+001
 2.4002879E+002, 1.0320460E+002, 1.5409906E+002, 1.2771421E+002, 1.1108548E+002, 1.4357993E+002, 4.1572817E+002, 1.6645879E+002, 1.7744735E+002, 1.0471683E+002, 1.2935373E+002, 2.3949384E+002, 2.9056453E+002, 9.1160459E+001, 1.6232680E+002, 3.8425715E+002, 2.0107392E+002, 5.9361803E+001, 3.1935877E+001, 3.1665853E+001, 2.9609513E+001, 4.2281477E+001, 3.4779255E+001, 3.2287101E+001, 3.1308696E+001
 2.4507155E+002, 1.0128560E+002, 1.5862851E+002, 1.2726643E+002, 1.1348014E+002, 1.4906066E+002, 4.0612703E+002, 1.6513931E+002, 1.7721336E+002, 1.0406455E+002, 1.3130332E+002, 2.3092166E+002, 2.7278297E+002, 8.8195751E+001, 1.6098609E+002, 3.3684897E+002, 1.9750520E+002, 5.8039021E+001, 3.1619315E+001, 3.1318043E+001, 2.8470876E+001, 4.1545022E+001, 3.4067211E+001, 3.1571507E+001, 3.0186057E+001
 2.5004604E+002, 1.0083384E+002, 1.5079168E+002, 1.2402923E+002, 1.1381679E+002, 1.4891644E+002, 4.0368855E+002, 1.6590804E+002, 1.7622326E+002, 1.0411870E+002, 1.2724493E+002, 2.2250838E+002, 2.5425756E+002, 8.7148686E+001, 1.5907365E+002, 3.3108208E+002, 1.9886469E+002, 5.7608578E+001, 3.1456127E+001, 3.0426424E+001, 2.7126232E+001, 4.1540237E+001, 3.3927829E+001, 3.0676944E+001, 2.8855365E+001
 2.5508780E+002, 1.0340447E+002, 1.5001087E+002, 1.2174883E+002, 1.0922614E+002, 1.5165433E+002, 3.6131863E+002, 1.7198880E+002, 1.7300951E+002, 1.0438590E+002, 1.2292759E+002, 2.0233201E+002, 2.5442403E+002, 8.9857895E+001, 1.5705686E+002, 3.1743060E+002, 2.0041368E+002, 5.7007786E+001, 3.1150925E+001, 2.8455003E+001, 2.6114329E+001, 4.2036371E+001, 3.3931022E+001, 3.0410629E+001, 2.8985056E+001
 2.6020947E+002, 1.0357662E+002, 1.5882920E+002, 1.2422577E+002, 1.0710252E+002, 1.5155089E+002, 4.0797085E+002, 1.7005647E+002, 2.0426715E+002, 1.0544763E+002, 1.2525436E+002, 1.9556774E+002, 2.5169754E+002, 9.1084664E+001, 1.5476041E+002, 3.1494210E+002, 1.9099438E+002, 5.7634865E+001, 2.9945731E+001, 2.7651184E+001, 2.6280790E+001, 4.2134054E+001, 3.4360737E+001, 3.0377166E+001, 2.9439428E+001
 2.6510456E+002, 1.0039623E+002, 1.5952183E+002, 1.2339413E+002, 1.1020208E+002, 1.5307792E+002, 4.3429000E+002, 1.5608781E+002, 2.1412760E+002, 1.0452487E+002, 1.2276675E+002, 1.9414228E+002, 2.4745052E+002, 8.9270877E+001, 1.5466457E+002, 3.1427645E+002, 1.7497947E+002, 5.8113328E+001, 2.8497156E+001, 2.6326300E+001, 2.6214757E+001, 4.1859011E+001, 3.4234374E+001, 3.0037992E+001, 2.9360746E+001
 2.7018355E+002, 9.8752773E+001, 1.5617063E+002, 1.2448127E+002, 1.1221932E+002, 1.5160450E+002, 3.7579554E+002, 1.6515806E+002, 2.0792027E+002, 1.0341942E+002, 1.2294698E+002, 1.8595663E+002, 2.4534593E+002, 8.8190255E+001, 1.5159525E+002, 3.0289386E+002, 1.6558307E+002, 5.7004280E+001, 2.7335688E+001, 2.6944946E+001, 2.6828355E+001, 4.0648123E+001, 3.3532802E+001, 2.9012652E+001, 2.8356348E+001
 2.7511988E+002, 1.0102583E+002, 1.5214273E+002, 1.2478402E+002, 1.1271155E+002, 1.4872247E+002, 4.3950379E+002, 1.6835226E+002, 2.0758479E+002, 1.0367007E+002, 1.2670398E+002, 1.8026104E+002, 2.4313159E+002, 8.7269810E+001, 1.4783902E+002, 2.8479989E+002, 1.6080180E+002, 5.7069124E+001, 2.7763077E+001, 2.8751891E+001, 3.1352946E+001, 4.0177577E+001, 3.2575387E+001, 2.8047270E+001, 2.7271689E+001
 2.8010337E+002, 9.8121617E+001, 1.5140330E+002, 1.2435811E+002, 1.1950742E+002, 1.4827999E+002, 4.4178144E+002, 1.6758104E+002, 1.9867481E+002, 1.0270857E+002, 1.2814590E+002, 1.8235861E+002, 2.3222763E+002, 8.5958241E+001, 1.4272269E+002, 3.0668219E+002, 1.6695110E+002, 5.5560004E+001, 2.8860432E+001, 2.9968051E+001, 2.9645337E+001, 4.0014650E+001, 3.2000577E+001, 2.7503449E+001, 2.7340106E+001
 2.8500429E+002, 9.8146361E+001, 1.5377308E+002, 1.2695219E+002, 1.1861305E+002, 1.5178157E+002, 4.6368409E+002, 1.6749867E+002, 1.9433705E+002, 1.0264610E+002, 1.2421952E+002, 1.8065144E+002, 2.2121610E+002, 8.4246271E+001, 1.5644672E+002, 2.8588325E+002, 1.6866075E+002, 5.4697783E+001, 3.0637903E+001, 2.9230926E+001, 2.8436112E+001, 3.9788629E+001, 3.1577077E+001, 2.7896004E+001, 2.8116228E+001
 2.9012131E+002, 1.0148953E+002, 1.5015153E+002, 1.2586917E+002, 1.1489852E+002, 1.5012667E+002, 4.6029925E+002, 1.6681224E+002, 1.9169520E+002, 1.0420064E+002, 1.2307693E+002, 1.8157710E+002, 2.0671771E+002, 8.6136308E+001, 1.5869128E+002, 2.8292303E+002, 1.6468248E+002, 5.5083445E+001, 3.0243662E+001, 2.8591997E+001, 3.0497848E+001, 3.9993284E+001, 3.1732615E+001, 2.8166954E+001, 2.8161868E+001
 2.9503450E+002, 9.9969325E+001, 1.5118040E+002, 1.2042841E+002, 1.1745916E+002, 1.4340713E+002, 4.1997641E+002, 1.5707283E+002, 1.9516777E+002, 1.0330755E+002, 1.2664305E+002, 1.8001050E+002, 1.9583541E+002, 8.8856014E+001, 1.6159870E+002, 2.8237415E+002, 1.6615657E+002, 5.5260404E+001, 2.8881379E+001, 2.8471885E+001, 3.0733964E+001, 3.9954131E+001, 3.1640638E+001, 2.8327632E+001, 2.7973975E+001
 3.0009584E+002, 9.9859718E+001, 1.5834434E+002, 1.2030762E+002, 1.1732958E+002, 1.5002470E+002, 4.3381265E+002, 1.5930765E+002, 1.9789266E+002, 1.0158056E+002, 1.2799833E+002, 1.7414796E+002, 1.8767016E+002, 8.5904894E+001, 1.6122702E+002, 2.9852242E+002, 1.6286654E+002, 5.5663021E+001, 2.7967006E+001, 2.7831653E+001, 3.0106997E+001, 3.9468923E+001, 3.1815770E+001, 2.8423904E+001, 2.7858585E+001
 3.0512518E+002, 9.7034420E+001, 1.5509942E+002, 1.2412316E+002, 1.1831340E+002, 1.5021372E+002, 4.2999108E+002, 1.5629201E+002, 2.0337002E+002, 1.0073974E+002, 1.3060437E+002, 1.7356266E+002, 1.8234263E+002, 8.3856167E+001, 1.5783014E+002, 2.8096515E+002, 1.6172539E+002, 5.5379698E+001, 2.7381124E+001, 2.6208720E+001, 2.9714386E+001, 3.8313469E+001, 3.1304301E+001, 2.8052056E+001, 2.7571451E+001
 3.1004998E+002, 9.6930967E+001, 1.4779685E+002, 1.1977295E+002, 1.1694792E+002, 1.5385880E+002, 4.7098422E+002, 1.6048477E+002, 1.7665847E+002, 1.0123825E+002, 1.2788743E+002, 1.7326047E+002, 1.7397083E+002, 8.3410299E+001, 1.7854778E+002, 2.8371121E+002, 1.6385957E+002, 5.6218017E+001, 2.7308698E+001, 2.6645226E+001, 2.8827012E+001, 3.7941928E+001, 3.1659527E+001, 2.7299827E+001, 2.7242481E+001
 3.1514173E+002, 9.6760760E+001, 1.5196693E+002, 1.1891254E+002, 1.1970021E+002, 1.4859450E+002, 4.5444547E+002, 1.6479934E+002, 1.6502356E+002, 1.0167737E+002, 1.2243483E+002, 1.6724777E+002, 1.6500115E+002, 8.8223328E+001, 1.7786256E+002, 2.5055619E+002, 1.6129098E+002, 5.6022514E+001, 2.7361721E+001, 2.6037654E+001, 2.6488456E+001, 3.7469303E+001, 3.1515632E+001, 2.6382136E+001, 2.6498546E+001
 3.2025088E+002, 9.7807952E+001, 1.5174127E+002, 1.1896423E+002, 1.1739415E+002, 1.4856075E+002, 4.6542141E+002, 1.6034284E+002, 1.5332566E+002, 1.0207332E+002, 1.2762064E+002, 1.6415483E+002, 1.5653457E+002, 8.9059998E+001, 1.6846257E+002, 3.1802816E+002, 1.6312558E+002, 5.5695647E+001, 2.7427330E+001, 2.5119303E+001, 2.5673530E+001, 3.7942522E+001, 3.0590363E+001, 2.5174652E+001, 2.5173476E+001
 3.2511284E+002, 9.6345366E+001, 1.5085184E+002, 1.1783275E+002, 1.1913979E+002, 1.3843249E+002, 4.5036577E+002, 1.6604421E+002, 1.4645657E+002, 1.0124585E+002, 1.2058643E+002, 1.5884999E+002, 1.5203584E+002, 8.5428139E+001, 1.7596637E+002, 2.7076781E+002, 1.5529582E+002, 5.6843426E+001, 2.7071538E+001, 2.4987575E+001, 2.5956000E+001, 3.8926925E+001, 3.0080124E+001, 2.5017959E+001, 2.5194817E+001
 3.3014966E+002, 9.7512002E+001, 1.5210240E+002, 1.1988921E+002, 1.1656443E+002, 1.4866700E+002, 4.2593560E+002, 1.6675441E+002, 1.3649726E+002, 1.0200357E+002, 1.2127569E+002, 1.5695918E+002, 1.5234073E+002, 8.8030511E+001, 1.7080850E+002, 2.7530360E+002, 1.4849262E+002, 5.6638728E+001, 2.5101923E+001, 2.7557102E+001, 2.7719064E+001, 3.8582914E+001, 2.9979769E+001, 2.4984668E+001, 2.5020061E+001
 3.3514921E+002, 9.6388661E+001, 1.5094058E+002, 1.1764267E+002, 1.1273647E+002, 1.4521342E+002, 4.1263592E+002, 1.6043385E+002, 1.2955994E+002, 1.0148117E+002, 1.2488036E+002, 1.5753121E+002, 1.4742047E+002, 8.7240294E+001, 1.7219927E+002, 2.6430548E+002, 1.5186490E+002, 5.5896814E+001, 2.4509773E+001, 2.6872060E+001, 2.9907479E+001, 3.8264330E+001, 2.9694019E+001, 2.4884600E+001, 2.4506170E+001
 3.4013010E+002, 9.4487847E+001, 1.5086469E+002, 1.2246833E+002, 1.0644455E+002, 1.4588048E+002, 3.9985223E+002, 1.5599779E+002, 1.2667680E+002, 9.9736598E+001, 1.1874373E+002, 1.5608980E+002, 1.4070118E+002, 8.6859878E+001, 1.8416300E+002, 2.5379300E+002, 1.5364021E+002, 5.6087556E+001, 2.5405911E+001, 2.5406654E+001, 2.9353241E+001, 3.7517118E+001, 2.9388430E+001, 2.4750328E+001, 2.3789590E+001
 3.4510659E+002, 9.5332461E+001, 1.4721336E+002, 1.2448894E+002, 9.8006085E+001, 1.4998877E+002, 3.2106111E+002, 1.5948183E+002, 1.1920782E+002, 9.9163234E+001, 1.1130573E+002, 1.4882657E+002, 1.3290890E+002, 9.1004363E+001, 1.8414052E+002, 2.4835227E+002, 1.5440315E+002, 5.5429501E+001, 2.4795198E+001, 2.3045788E+001, 2.6758586E+001, 3.6275672E+001, 2.9375646E+001, 2.4157086E+001, 2.3011557E+001
 3.5000394E+002, 9.8304250E+001, 1.4321499E+002, 1.2043064E+002, 9.3924811E+001, 1.4399324E+002, 2.7483463E+002, 1.5693006E+002, 1.1135562E+002, 1.0010317E+002, 1.1798285E+002, 1.4141115E+002, 1.2961886E+002, 9.3828317E+001, 1.7864990E+002, 2.4148514E+002, 1.5097461E+002, 5.5000202E+001, 2.1892071E+001, 1.9455157E+001, 2.3775734E+001, 3.5339628E+001, 2.8990436E+001, 2.3555126E+001, 2.2609500E+001
 3.5528244E+002, 9.9725731E+001, 1.4938078E+002, 1.1692791E+002, 9.4273571E+001, 1.4192094E+002, 2.9855737E+002, 1.5478353E+002, 1.0732492E+002, 9.9767973E+001, 1.1572601E+002, 1.3994794E+002, 1.2864661E+002, 8.9584524E+001, 1.6483424E+002, 2.2295628E+002, 1.4221806E+002, 5.5042059E+001, 2.1954926E+001, 2.0912204E+001, 2.3435408E+001, 3.5553123E+001, 2.8910537E+001, 2.2937797E+001, 2.2145850E+001
 3.6012191E+002, 9.6726296E+001, 1.5575626E+002, 1.1813987E+002, 9.3724491E+001, 1.4122058E+002, 2.8810935E+002, 1.5922238E+002, 1.0574366E+002, 9.8393728E+001, 1.1287797E+002, 1.4047168E+002, 1.2770596E+002, 8.5091107E+001, 1.6178492E+002, 2.1528545E+002, 1.4604651E+002, 5.3859843E+001, 2.3116682E+001, 2.2180566E+001, 2.3532637E+001, 3.5115272E+001, 2.8097404E+001, 2.2472466E+001, 2.1664617E+001
 3.6513963E+002, 9.7441668E+001, 1.5035271E+002, 1.2128595E+002, 8.8530785E+001, 1.3692138E+002, 2.6660280E+002, 1.5938182E+002, 1.0200531E+002, 9.8661582E+001, 1.1308955E+002, 1.4067472E+002, 1.2102631E+002, 8.4804316E+001, 1.7388377E+002, 2.1776324E+002, 1.5053195E+002, 5.3720389E+001, 2.3742460E+001, 2.1317797E+001, 2.3289984E+001, 3.5583273E+001, 2.8301610E+001, 2.1919855E+001, 2.1319592E+001
 3.7006594E+002, 9.8475427E+001, 1.4788695E+002, 1.1932899E+002, 8.6728384E+001, 1.3708643E+002, 2.4606492E+002, 1.5466075E+002, 9.9700008E+001, 9.8182005E+001, 9.9832032E+001, 1.3254625E+002, 1.1777017E+002, 8.9673994E+001, 1.7878246E+002, 2.0803682E+002, 1.4518212E+002, 5.3650701E+001, 2.2107405E+001, 2.0237828E+001, 2.1704743E+001, 3.5933730E+001, 2.8670808E+001, 2.1221587E+001, 2.1336997E+001
 3.7505428E+002, 1.0037359E+002, 1.4952388E+002, 1.1642205E+002, 8.5448649E+001, 1.4048991E+002, 2.3955096E+002, 1.4801394E+002, 9.5939168E+001, 1.0005287E+002, 1.0030827E+002, 1.2593972E+002, 1.1739801E+002, 9.2995191E+001, 1.6366291E+002, 2.0998188E+002, 1.3579280E+002, 5.3095519E+001, 1.9983765E+001, 2.0091092E+001, 2.1752408E+001, 3.5080871E+001, 2.8438066E+001, 2.0986946E+001, 2.1319422E+001
 3.8015508E+002, 9.8544376E+001, 1.4489670E+002, 1.1657032E+002, 8.0637402E+001, 1.3170217E+002, 2.5366827E+002, 1.4953521E+002, 9.1718699E+001, 9.8302391E+001, 1.0264328E+002, 1.2607899E+002, 1.1722079E+002, 8.5001204E+001, 1.7244103E+002, 2.0044525E+002, 1.3506605E+002, 5.3173392E+001, 1.9953827E+001, 2.0219799E+001, 2.2569777E+001, 3.4409144E+001, 2.8001407E+001, 2.0608062E+001, 2.0914126E+001
 3.8507737E+002, 9.6477860E+001, 1.4204318E+002, 1.1607431E+002, 7.8823422E+001, 1.3774166E+002, 2.3718319E+002, 1.4365448E+002, 8.9453830E+001, 9.6027130E+001, 1.0039871E+002, 1.2328631E+002, 1.1354206E+002, 8.7612034E+001, 1.7600975E+002, 2.0281077E+002, 1.4019702E+002, 5.2646580E+001, 2.0467703E+001, 2.0230369E+001, 2.2103208E+001, 3.3079783E+001, 2.7000482E+001, 2.0253183E+001, 2.0400155E+001
 3.9026371E+002, 9.5748104E+001, 1.4005656E+002, 1.1654381E+002, 7.5286973E+001, 1.4619273E+002, 2.3907241E+002, 1.3974552E+002, 8.6092332E+001, 9.5762330E+001, 9.5901977E+001, 1.2243061E+002, 1.0589919E+002, 9.1004114E+001, 1.7684215E+002, 1.9663924E+002, 1.3725504E+002, 5.2337766E+001, 2.0003695E+001, 1.9779454E+001, 2.0227147E+001, 3.2114544E+001, 2.6126013E+001, 2.0136430E+001, 1.9999158E+001
 3.9505428E+002, 9.3920003E+001, 1.4130113E+002, 1.1886084E+002, 7.1152882E+001, 1.5284525E+002, 2.2615158E+002, 1.4041963E+002, 8.2203074E+001, 9.6379000E+001, 9.4975962E+001, 1.1452134E+002, 1.0354399E+002, 9.0556917E+001, 1.6737240E+002, 1.8475081E+002, 1.3142844E+002, 5.1153097E+001, 1.8168691E+001, 1.7754322E+001, 2.0152264E+001, 3.2304695E+001, 2.5319445E+001, 2.0144572E+001, 1.9707789E+001
